shop_number,cash_number,doc_id,item,category,amount,price,discount
11,1,9IGXkF9YrE,тарелка,посуда,29,1174.4,3
11,1,CU40Z1HW9i,чайник,посуда,23,912.7,3
11,1,PdZNGzw77Q,кастрюля,посуда,40,354.8,5
11,1,KiNqtIlyxd,чашка,посуда,30,1147.3,0
11,1,COKOzQyMtl,стиральный порошок,бытовая химия,49,2560.3,3
11,1,Dp3Ce79a2D,зубная паста,бытовая химия,44,932.1,3
11,1,4vYX0qZn9Q,гель для душа,бытовая химия,2,846.8,0
11,1,89eL8scXyT,шампунь,бытовая химия,28,2471.0,0
11,1,SHKrePyowj,штора,текстиль,30,438.4,3
11,1,W76hz8KFTz,подушка,текстиль,2,1340.2,0
11,1,VFF5y2ZBdC,одеяло,текстиль,18,2379.9,0
11,1,NXtmfvvJQg,светильник,освещение,37,223.8,3
11,1,frEETIvDB7,лампочка,освещение,14,1196.8,0
